ID,Rep,Landmark,X,Y
Leaf_16c,2,3,13.023,21.976
Leaf_16c,2,4,13.527,21.875
Leaf_16c,2,5,13.267,20.893
Leaf_16c,2,6,11.563,20.723
Leaf_16c,2,7,14.713,21.007
Leaf_16c,2,8,11.984,19.061
Leaf_16c,2,9,14.512,19.562
Leaf_16c,2,10,12.364,21.548
Leaf_16c,2,11,13.975,21.774
Leaf_16c,2,12,12.828,21.528
Leaf_16c,2,13,13.661,21.578
Leaf_16c,2,14,12.633,20.966
Leaf_16c,2,15,14.099,20.477
Leaf_16b,2,1,13.079,16.469
Leaf_16b,2,2,13.534,23.443
Leaf_16b,2,3,13.419,23.371
Leaf_16b,2,4,13.653,23.27
Leaf_16b,2,5,13.456,21.423
Leaf_16b,2,6,11.182,21.682
Leaf_16b,2,7,15.624,21.149
Leaf_16b,2,8,11.596,20.254
Leaf_16b,2,9,15.203,20.026
Leaf_16b,2,10,12.226,22.793
Leaf_16b,2,11,14.668,22.429
Leaf_16b,2,12,13.022,22.644
Leaf_16b,2,13,13.854,22.663
Leaf_16b,2,14,12.655,21.587
Leaf_16b,2,15,14.016,22.2
Leaf_15c,2,1,13.129,21.314
Leaf_15c,2,2,13.334,25.826
Leaf_15c,2,3,13.068,25.317
Leaf_15c,2,4,13.808,24.878
Leaf_15c,2,5,13.33,24.324
Leaf_15c,2,6,11.75,24.432
Leaf_15c,2,7,15.017,24.234
Leaf_15c,2,8,12.145,23.443
Leaf_15c,2,9,14.598,23.36
Leaf_15c,2,10,12.507,25.181
Leaf_15c,2,11,14.234,25.164
Leaf_15c,2,12,12.853,24.675
Leaf_15c,2,13,13.865,24.639
Leaf_15c,2,14,12.704,23.906
Leaf_15c,2,15,14.033,23.895
Leaf_15b,2,1,13.266,20.728
Leaf_15b,2,2,13.556,24.753
Leaf_15b,2,3,13.111,24.123
Leaf_15b,2,4,13.839,24.402
Leaf_15b,2,5,13.551,23.35
Leaf_15b,2,6,11.998,23.318
Leaf_15b,2,7,15.068,23.388
Leaf_15b,2,8,12.39,22.646
Leaf_15b,2,9,14.568,22.369
Leaf_15b,2,10,12.59,24.268
Leaf_15b,2,11,14.457,24.358
Leaf_15b,2,12,12.905,23.71
Leaf_15b,2,13,14.099,24.012
Leaf_15b,2,14,12.784,23.23
Leaf_15b,2,15,14.38,23.105
Leaf_14c,2,1,12.639,12.882
Leaf_14c,2,2,12.542,20.879
Leaf_14c,2,3,12.427,20.786
Leaf_14c,2,4,12.628,20.533
Leaf_14c,2,5,12.338,18.936
Leaf_14c,2,6,9.152,19.121
Leaf_14c,2,7,15.441,18.757
Leaf_14c,2,8,9.896,17.842
Leaf_14c,2,9,14.789,17.578
Leaf_14c,2,10,10.877,20.112
Leaf_14c,2,11,13.985,19.881
Leaf_14c,2,12,11.504,19.346
Leaf_14c,2,13,13.059,19.37
Leaf_14c,2,14,11.509,19.087
Leaf_14c,2,15,13.174,19.075
Leaf_14b,2,1,13.956,16.775
Leaf_14b,2,2,13.977,23.008
Leaf_14b,2,3,13.821,22.858
Leaf_14b,2,4,14.144,22.543
Leaf_14b,2,5,13.832,21.863
Leaf_14b,2,6,11.377,22.018
Leaf_14b,2,7,16.333,21.715
Leaf_14b,2,8,11.736,20.946
Leaf_14b,2,9,15.875,20.82
Leaf_14b,2,10,12.527,22.741
Leaf_14b,2,11,15.068,22.481
Leaf_14b,2,12,13.297,22.131
Leaf_14b,2,13,14.384,22.077
Leaf_14b,2,14,12.959,21.459
Leaf_14b,2,15,14.727,21.243
Leaf_14a,2,1,13.914,15.608
Leaf_14a,2,2,13.404,22.037
Leaf_14a,2,3,13.143,21.503
Leaf_14a,2,4,13.633,21.737
Leaf_14a,2,5,13.427,21.347
Leaf_14a,2,6,11.284,21.296
Leaf_14a,2,7,15.492,21.622
Leaf_14a,2,8,11.591,20.288
Leaf_14a,2,9,15.404,20.395
Leaf_14a,2,10,11.97,21.665
Leaf_14a,2,11,14.434,21.793
Leaf_14a,2,12,12.787,20.575
Leaf_14a,2,13,13.985,21.071
Leaf_14a,2,14,12.683,19.951
Leaf_14a,2,15,14.311,20.13
Leaf_13b,2,1,12.95,15.991
Leaf_13b,2,2,12.942,21.594
Leaf_13b,2,3,12.745,21.208
